Size,Type,BubbleSortTime,MergeSortTime,QuickSortTime,Status
370,sorted,0.03888,0.20954,0.0495,Success
370,partially_sorted,0.08148,0.24554,0.01124,Success
370,reverse_sorted,0.08896,0.21218,0.05436,Success
380,random,0.10334,0.24496,0.0092,Success
380,sorted,0.04162,0.21864,0.05158,Success
380,partially_sorted,0.06432,0.22164,0.00754,Success
380,reverse_sorted,0.10452,0.23552,0.06408,Success
390,random,0.10124,0.23704,0.00706,Success
390,sorted,0.0417,0.22476,0.05106,Success
390,partially_sorted,0.06708,0.23192,0.01284,Success
390,reverse_sorted,0.10622,0.23276,0.06198,Success
400,random,0.11146,0.2393,0.00776,Success
400,sorted,0.04374,0.2238,0.05332,Success
400,partially_sorted,0.0931,0.23818,0.01254,Success
400,reverse_sorted,0.102,0.22654,0.06516,Success
410,random,0.1261,0.26124,0.00872,Success
410,sorted,0.04626,0.22538,0.05674,Success
410,partially_sorted,0.07402,0.23638,0.00996,Success
410,reverse_sorted,0.10634,0.23392,0.06392,Success
420,random,0.17076,0.26794,0.01086,Success
420,sorted,0.0539,0.24248,0.06228,Success
420,partially_sorted,0.07384,0.24164,0.0141,Success
420,reverse_sorted,0.11126,0.23658,0.06228,Success
430,random,0.1265,0.26164,0.00814,Success
430,sorted,0.05168,0.24344,0.0682,Success
430,partially_sorted,0.10654,0.2648,0.01116,Success
430,reverse_sorted,0.1197,0.2418,0.06952,Success
440,random,0.1409,0.26438,0.00988,Success
440,sorted,0.05336,0.24502,0.06904,Success
440,partially_sorted,0.08046,0.24814,0.01208,Success
440,reverse_sorted,0.12848,0.27216,0.0749,Success
450,random,0.1678,0.30852,0.01182,Success
450,sorted,0.05736,0.25194,0.06884,Success
450,partially_sorted,0.0854,0.25682,0.01046,Success
450,reverse_sorted,0.12694,0.25212,0.07382,Success
460,random,0.151,0.28174,0.00986,Success
460,sorted,0.06024,0.2561,0.07144,Success
460,partially_sorted,0.09448,0.26864,0.01406,Success
460,reverse_sorted,0.1339,0.25632,0.07712,Success
470,random,0.14694,0.28082,0.00994,Success
470,sorted,0.06888,0.26762,0.07758,Success
470,partially_sorted,0.09978,0.27988,0.0154,Success
470,reverse_sorted,0.13844,0.26568,0.08438,Success
480,random,0.15414,0.29234,0.0104,Success
480,sorted,0.06434,0.27634,0.07948,Success
480,partially_sorted,0.09976,0.29728,0.0126,Success
480,reverse_sorted,0.1454,0.27574,0.08732,Success
490,random,0.15646,0.29052,0.01038,Success
490,sorted,0.06476,0.27618,0.07998,Success
490,partially_sorted,0.10506,0.28052,0.01702,Success
490,reverse_sorted,0.17866,0.28766,0.09478,Success
500,random,0.1664,0.29918,0.01022,Success
500,sorted,0.06698,0.28816,0.08482,Success
500,partially_sorted,0.10708,0.29196,0.01774,Success
500,reverse_sorted,0.16064,0.2997,0.0916,Success
510,random,0.18412,0.3216,0.01242,Success
510,sorted,0.07208,0.30198,0.10616,Success
510,partially_sorted,0.10994,0.29672,0.01212,Success
510,reverse_sorted,0.16414,0.29452,0.09722,Success
520,random,0.17526,0.31226,0.0108,Success
520,sorted,0.07742,0.3321,0.09322,Success
520,partially_sorted,0.11636,0.30808,0.01232,Success
520,reverse_sorted,0.18158,0.28982,0.1011,Success
530,random,0.19608,0.32458,0.01118,Success
530,sorted,0.07618,0.30546,0.09398,Success
530,partially_sorted,0.12476,0.34578,0.0246,Success
530,reverse_sorted,0.1988,0.30216,0.10194,Success
540,random,0.19104,0.33134,0.01142,Success
540,sorted,0.07868,0.31504,0.09956,Success
